"Time_Iter","Inner_Iter",    "Cur_Time"    ,    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,    "RefForce"    ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      ,     "Buffet"     ,   "relrms[Rho]"  ,  "relrms[RhoU]"  ,  "relrms[RhoV]"  ,  "relrms[RhoE]"  , "tavg[RefForce]" ,    "tavg[CD]"    ,    "tavg[CL]"    ,    "tavg[CSF]"   ,    "tavg[CMx]"   ,    "tavg[CMy]"   ,    "tavg[CMz]"   ,    "tavg[CFx]"   ,    "tavg[CFy]"   ,    "tavg[CFz]"   ,   "tavg[CEff]"   ,  "tavg[Buffet]"  ,"Cauchy[tavg[CD]]","Cauchy[tavg[CL]]"
         25,          49,               0.5,      -7.215522746,      -5.206816841,      -5.372306113,      -1.753797724,     0.06088926657,       4.004166981,     -0.2649734942,                 0,                 0,                 0,     0.05162708018,       4.004166981,     -0.2649734942,                 0,    -0.06617443663,      0.1540740042,      -1.281027824,      -1.670488418,      -1.803871153,       -1.28000403,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         26,          49,              0.52,       -7.23054895,      -5.190448671,      -5.399355786,      -1.772119693,     0.06088926657,      0.6100523915,     0.02498435575,                 0,                 0,                 0,    -0.01965824748,      0.6100523915,     0.02498435575,                 0,     0.04095444276,       0.159609973,      -1.315653437,      -1.683124704,      -1.863003404,      -1.318030647,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         27,          49,              0.54,      -7.348973153,      -5.119532473,      -5.152371021,      -1.897473068,     0.06088926657,      -1.672826404,      0.3293483687,                 0,                 0,                 0,     -0.0945658537,      -1.672826404,      0.3293483687,                 0,     -0.1968813786,      0.1602317347,      -1.441517382,      -1.623417348,      -1.628463968,      -1.450225366,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         28,          49,              0.56,      -7.503818894,      -5.131325639,      -5.082734847,      -2.058177676,     0.06088926657,      -2.362758632,      0.5354886549,                 0,                 0,                 0,     -0.1451978088,      -2.362758632,      0.5354886549,                 0,     -0.2266370536,      0.1498714819,       -1.57772888,      -1.609299602,      -1.533513291,      -1.591547005,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         29,          49,              0.58,      -7.474417224,      -5.224579914,      -5.148956175,      -2.016259926,     0.06088926657,      -1.501392578,      0.5489156393,                 0,                 0,                 0,      -0.148152843,      -1.501392578,      0.5489156393,                 0,     -0.3656043378,      0.1498714819,      -1.512240771,      -1.651422928,      -1.547959248,      -1.513631181,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         30,          49,               0.6,      -7.391534119,      -5.333616236,      -5.354567084,      -1.930310382,     0.06088926657,      0.3721485123,       0.422188867,                 0,                 0,                 0,     -0.1164733756,      0.3721485123,       0.422188867,                 0,       1.134463401,      0.1498714819,       -1.40410014,       -1.72899559,      -1.723336959,      -1.403861687,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         31,          49,              0.62,      -7.395135418,      -5.313731128,      -5.525743343,      -1.936424288,     0.06088926657,       2.457841392,      0.2252644395,                 0,                 0,                 0,    -0.06748958602,       2.457841392,      0.2252644395,                 0,     0.09165133287,      0.1710991973,      -1.408856888,      -1.722333953,      -1.916183451,      -1.412282769,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         32,          49,              0.64,       -7.48354881,      -5.261283501,      -5.365950246,      -2.028844275,     0.06088926657,       4.035255435,   -0.008175612812,                 0,                 0,                 0,   -0.009525817015,       4.035255435,   -0.008175612812,                 0,   -0.002026045921,      0.1735707548,      -1.503249034,      -1.687606977,      -1.784606248,      -1.510125334,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         33,          49,              0.66,      -7.597729589,      -5.286247655,       -5.28256444,      -2.145317137,     0.06088926657,       4.665519257,      -0.198473974,                 0,                 0,                 0,     0.03761764226,       4.665519257,      -0.198473974,                 0,    -0.04254059688,       0.162613369,      -1.603335874,      -1.697899633,      -1.692410576,      -1.610928642,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         34,          49,              0.68,      -7.607584133,      -5.390035333,      -5.319688741,      -2.150440741,     0.06088926657,       4.322788368,     -0.2792577128,                 0,                 0,                 0,     0.05752063555,       4.322788368,     -0.2792577128,                 0,     -0.0646012918,      0.1689528103,      -1.575790375,      -1.752230321,      -1.676308764,      -1.577514725,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         35,          49,               0.7,      -7.568376004,      -5.479035273,      -5.472256356,      -2.108897774,     0.06088926657,       3.299500526,      -0.238452415,                 0,                 0,                 0,     0.04728392577,       3.299500526,      -0.238452415,                 0,    -0.07226924593,      0.1641285263,      -1.494211535,        -1.7865112,      -1.760422824,      -1.494398694,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         36,          49,              0.72,      -7.587658734,      -5.429952631,      -5.640454273,      -2.130298431,     0.06088926657,       2.032833091,     -0.1315532134,                 0,                 0,                 0,     0.02071204173,       2.032833091,     -0.1315532134,                 0,    -0.06471422272,      0.1846993492,      -1.490671721,       -1.71930563,       -1.90737923,      -1.495191389,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         37,          49,              0.74,      -7.673502536,      -5.385835268,      -5.563887549,      -2.220604279,     0.06088926657,      0.9606501965,     0.02742525542,                 0,                 0,                 0,    -0.01872699305,      0.9606501965,     0.02742525542,                 0,     0.02854863874,      0.1846993492,      -1.572426671,      -1.686316961,      -1.858960394,      -1.582196936,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         38,          49,              0.76,        -7.7529644,      -5.420580349,      -5.469336255,       -2.30053056,     0.06088926657,      0.3811705235,      0.1814753254,                 0,                 0,                 0,    -0.05682638671,      0.3811705235,      0.1814753254,                 0,      0.4761001027,      0.1650560186,       -1.64305718,      -1.719990511,      -1.779307641,      -1.651874003,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         39,          49,              0.78,      -7.735239814,      -5.558707379,      -5.486359962,      -2.276454476,     0.06088926657,      0.3932556238,      0.2742228261,                 0,                 0,                 0,    -0.07957605047,      0.3932556238,      0.2742228261,                 0,      0.6973144426,      0.1523430394,      -1.596353174,      -1.825385706,      -1.766172426,      -1.596655781,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         40,          49,               0.8,      -7.705336876,      -5.690085348,      -5.597518421,       -2.24498799,     0.06088926657,      0.8745710116,      0.2943069693,                 0,                 0,                 0,    -0.08418454404,      0.8745710116,      0.2943069693,                 0,      0.3365158065,      0.1498714819,      -1.520643426,      -1.901021293,      -1.806808956,      -1.518472162,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         41,          49,              0.82,       -7.74248392,      -5.606753328,      -5.716198546,      -2.284855686,     0.06088926657,       1.588831154,      0.2455473446,                 0,                 0,                 0,    -0.07162240949,       1.588831154,      0.2455473446,                 0,      0.1545459024,      0.1704774355,      -1.514173929,      -1.770695262,       -1.85907646,      -1.516368502,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         42,          49,              0.84,      -7.846134817,      -5.527601161,      -5.713263318,      -2.393245993,     0.06088926657,       2.251845525,      0.1458087456,                 0,                 0,                 0,    -0.04638659437,       2.251845525,      0.1458087456,                 0,     0.06475077616,      0.1805319576,      -1.593795607,      -1.678442246,      -1.851113492,      -1.603106818,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         43,          49,              0.86,       -7.92332757,       -5.55350494,      -5.677886893,      -2.469605935,     0.06088926657,       2.643696993,      0.0377072415,                 0,                 0,                 0,    -0.01914790769,       2.643696993,      0.0377072415,                 0,     0.01426307236,      0.1735713107,      -1.659425529,      -1.706045693,      -1.842221533,      -1.667980862,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         44,          49,              0.88,      -7.884279396,      -5.694535867,      -5.703865285,      -2.424723079,     0.06088926657,       2.687804669,    -0.04002534251,                 0,                 0,                 0,   0.0004495577227,       2.687804669,    -0.04002534251,                 0,    -0.01489146253,      0.1839519155,      -1.600647329,      -1.832784024,      -1.867841824,      -1.601257662,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         45,          49,               0.9,      -7.852440129,      -5.873170955,      -5.794072931,      -2.392396388,     0.06088926657,       2.443211576,    -0.08469396241,                 0,                 0,                 0,     0.01175281085,       2.443211576,    -0.08469396241,                 0,    -0.03466501357,      0.1839519155,      -1.530683572,      -1.972435195,      -1.913750315,      -1.528597248,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
