"Density","Energy","Mach","Momentum:0","Momentum:1","Momentum:2","Pressure","Pressure_Coefficient","Temperature","Velocity:0","Velocity:1","Velocity:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.9355,2.0147e+05,0.061267,19.894,0,0,80502,-1.1732,299.77,21.265,0,0,1,10.907,7.907,0,0
0.93551,2.0147e+05,0.061157,19.858,0,0,80504,-1.1731,299.78,21.227,0,0,1,10.92,7.92,0,0
0.93552,2.0147e+05,0.061047,19.823,0,0,80505,-1.173,299.78,21.189,0,0,1,10.933,7.933,0,0
0.93554,2.0147e+05,0.060938,19.788,0,0,80506,-1.173,299.78,21.151,0,0,1,10.946,7.946,0,0
0.93554,2.0147e+05,0.060799,19.743,0,0,80506,-1.173,299.78,21.103,0,0,1,10.959,7.959,0,0
0.93553,2.0147e+05,0.060649,19.694,0,0,80506,-1.173,299.78,21.051,0,0,1,10.972,7.972,0,0
0.93553,2.0147e+05,0.060498,19.645,0,0,80506,-1.173,299.78,20.999,0,0,1,10.985,7.985,0,0
0.93552,2.0147e+05,0.060347,19.596,0,0,80506,-1.173,299.78,20.946,0,0,1,10.998,7.998,0,0
0.93555,2.0148e+05,0.060228,19.558,0,0,80509,-1.1728,299.78,20.905,0,0,1,11.011,8.011,0,0
0.93559,2.0148e+05,0.060114,19.522,0,0,80512,-1.1726,299.78,20.866,0,0,1,11.024,8.024,0,0
0.93563,2.0149e+05,0.06,19.485,0,0,80516,-1.1724,299.78,20.826,0,0,1,11.037,8.037,0,0
0.93566,2.015e+05,0.059887,19.449,0,0,80519,-1.1722,299.79,20.787,0,0,1,11.05,8.05,0,0
0.93563,2.0149e+05,0.059738,19.4,0,0,80517,-1.1724,299.79,20.735,0,0,1,11.063,8.063,0,0
0.9356,2.0149e+05,0.059589,19.352,0,0,80515,-1.1725,299.79,20.684,0,0,1,11.076,8.076,0,0
0.93558,2.0148e+05,0.059441,19.303,0,0,80513,-1.1726,299.79,20.632,0,0,1,11.089,8.089,0,0
0.93556,2.0148e+05,0.059296,19.255,0,0,80511,-1.1727,299.79,20.582,0,0,1,11.102,8.102,0,0
0.93559,2.0148e+05,0.059172,19.216,0,0,80515,-1.1725,299.79,20.539,0,0,1,11.115,8.115,0,0
0.93563,2.0149e+05,0.059049,19.177,0,0,80518,-1.1723,299.79,20.496,0,0,1,11.128,8.128,0,0
0.93566,2.015e+05,0.058925,19.137,0,0,80521,-1.1721,299.79,20.453,0,0,1,11.141,8.141,0,0
0.93568,2.015e+05,0.058807,19.099,0,0,80523,-1.172,299.79,20.412,0,0,1,11.154,8.154,0,0
0.93565,2.015e+05,0.058704,19.065,0,0,80521,-1.1722,299.79,20.377,0,0,1,11.167,8.167,0,0
0.93562,2.0149e+05,0.058601,19.031,0,0,80518,-1.1723,299.79,20.341,0,0,1,11.18,8.18,0,0
0.93559,2.0148e+05,0.058498,18.997,0,0,80516,-1.1724,299.8,20.305,0,0,1,11.193,8.193,0,0
0.9356,2.0148e+05,0.058389,18.962,0,0,80517,-1.1724,299.8,20.267,0,0,1,11.206,8.206,0,0
0.93565,2.0149e+05,0.058272,18.925,0,0,80521,-1.1721,299.8,20.226,0,0,1,11.219,8.219,0,0
0.93569,2.015e+05,0.058155,18.888,0,0,80525,-1.1719,299.8,20.186,0,0,1,11.232,8.232,0,0
0.93574,2.0151e+05,0.058038,18.851,0,0,80529,-1.1717,299.8,20.145,0,0,1,11.245,8.245,0,0
0.93574,2.0151e+05,0.057922,18.813,0,0,80530,-1.1716,299.8,20.105,0,0,1,11.258,8.258,0,0
0.93572,2.0151e+05,0.057805,18.775,0,0,80528,-1.1717,299.8,20.065,0,0,1,11.271,8.271,0,0
0.93569,2.015e+05,0.057689,18.737,0,0,80526,-1.1719,299.8,20.024,0,0,1,11.284,8.284,0,0
0.93567,2.015e+05,0.057573,18.699,0,0,80524,-1.172,299.8,19.984,0,0,1,11.297,8.297,0,0
0.9357,2.015e+05,0.057462,18.663,0,0,80527,-1.1718,299.8,19.946,0,0,1,11.31,8.31,0,0
0.93574,2.0151e+05,0.057352,18.628,0,0,80530,-1.1716,299.8,19.907,0,0,1,11.323,8.323,0,0
0.93578,2.0152e+05,0.057242,18.593,0,0,80534,-1.1714,299.8,19.869,0,0,1,11.336,8.336,0,0
0.93582,2.0153e+05,0.057132,18.558,0,0,80538,-1.1712,299.8,19.831,0,0,1,11.349,8.349,0,0
0.9358,2.0152e+05,0.057021,18.522,0,0,80537,-1.1713,299.81,19.793,0,0,1,11.362,8.362,0,0
0.93578,2.0152e+05,0.05691,18.485,0,0,80535,-1.1714,299.81,19.754,0,0,1,11.375,8.375,0,0
0.93575,2.0151e+05,0.056798,18.449,0,0,80533,-1.1715,299.81,19.715,0,0,1,11.388,8.388,0,0
0.93573,2.0151e+05,0.056688,18.413,0,0,80531,-1.1716,299.81,19.677,0,0,1,11.401,8.401,0,0
0.93576,2.0152e+05,0.056593,18.382,0,0,80534,-1.1714,299.81,19.644,0,0,1,11.414,8.414,0,0
0.93579,2.0152e+05,0.056498,18.352,0,0,80537,-1.1712,299.81,19.611,0,0,1,11.427,8.427,0,0
0.93582,2.0153e+05,0.056403,18.322,0,0,80540,-1.1711,299.81,19.578,0,0,1,11.44,8.44,0,0
0.93584,2.0153e+05,0.056314,18.293,0,0,80541,-1.171,299.81,19.547,0,0,1,11.453,8.453,0,0
0.9358,2.0152e+05,0.056248,18.271,0,0,80538,-1.1712,299.81,19.524,0,0,1,11.466,8.466,0,0
0.93577,2.0152e+05,0.056182,18.249,0,0,80535,-1.1714,299.81,19.501,0,0,1,11.479,8.479,0,0
0.93573,2.0151e+05,0.056116,18.227,0,0,80532,-1.1715,299.81,19.479,0,0,1,11.492,8.492,0,0
0.93573,2.0151e+05,0.056059,18.208,0,0,80532,-1.1715,299.81,19.459,0,0,1,11.505,8.505,0,0
0.93578,2.0152e+05,0.056016,18.195,0,0,80537,-1.1713,299.81,19.444,0,0,1,11.518,8.518,0,0
0.93584,2.0153e+05,0.055974,18.183,0,0,80541,-1.171,299.81,19.429,0,0,1,11.531,8.531,0,0
0.93589,2.0154e+05,0.055932,18.17,0,0,80546,-1.1707,299.81,19.415,0,0,1,11.544,8.544,0,0
0.9359,2.0154e+05,0.055857,18.146,0,0,80547,-1.1707,299.81,19.389,0,0,1,11.557,8.557,0,0
0.93586,2.0153e+05,0.055755,18.112,0,0,80544,-1.1708,299.81,19.353,0,0,1,11.57,8.57,0,0
0.93583,2.0153e+05,0.055652,18.078,0,0,80541,-1.171,299.81,19.318,0,0,1,11.583,8.583,0,0
0.93579,2.0152e+05,0.05555,18.044,0,0,80538,-1.1712,299.81,19.282,0,0,1,11.596,8.596,0,0
0.93582,2.0152e+05,0.05539,17.993,0,0,80540,-1.171,299.82,19.227,0,0,1,11.609,8.609,0,0
0.93587,2.0154e+05,0.055205,17.934,0,0,80545,-1.1708,299.82,19.163,0,0,1,11.622,8.622,0,0
0.93593,2.0155e+05,0.05502,17.875,0,0,80550,-1.1705,299.82,19.099,0,0,1,11.635,8.635,0,0
0.93598,2.0156e+05,0.054835,17.816,0,0,80555,-1.1702,299.82,19.034,0,0,1,11.648,8.648,0,0
0.93595,2.0155e+05,0.054789,17.8,0,0,80553,-1.1703,299.82,19.018,0,0,1,11.661,8.661,0,0
0.93591,2.0154e+05,0.054767,17.792,0,0,80550,-1.1705,299.82,19.011,0,0,1,11.674,8.674,0,0
0.93587,2.0154e+05,0.054746,17.785,0,0,80546,-1.1707,299.82,19.003,0,0,1,11.687,8.687,0,0
0.93583,2.0153e+05,0.054724,17.777,0,0,80543,-1.1709,299.82,18.996,0,0,1,11.7,8.7,0,0
0.93588,2.0154e+05,0.054633,17.748,0,0,80547,-1.1707,299.82,18.964,0,0,1,11.713,8.713,0,0
0.93592,2.0154e+05,0.054542,17.719,0,0,80550,-1.1705,299.82,18.932,0,0,1,11.726,8.726,0,0
0.93596,2.0155e+05,0.05445,17.69,0,0,80554,-1.1703,299.82,18.901,0,0,1,11.739,8.739,0,0
0.93599,2.0156e+05,0.054364,17.663,0,0,80557,-1.1701,299.82,18.871,0,0,1,11.752,8.752,0,0
0.93597,2.0156e+05,0.054304,17.643,0,0,80555,-1.1702,299.82,18.85,0,0,1,11.765,8.765,0,0
0.93596,2.0155e+05,0.054245,17.624,0,0,80554,-1.1703,299.82,18.829,0,0,1,11.778,8.778,0,0
0.93594,2.0155e+05,0.054185,17.604,0,0,80553,-1.1703,299.82,18.809,0,0,1,11.791,8.791,0,0
0.93594,2.0155e+05,0.054123,17.584,0,0,80553,-1.1704,299.82,18.787,0,0,1,11.804,8.804,0,0
0.93596,2.0155e+05,0.054057,17.563,0,0,80555,-1.1702,299.82,18.764,0,0,1,11.817,8.817,0,0
0.93598,2.0156e+05,0.05399,17.541,0,0,80557,-1.1701,299.82,18.741,0,0,1,11.83,8.83,0,0
0.93601,2.0156e+05,0.053924,17.52,0,0,80559,-1.17,299.82,18.718,0,0,1,11.843,8.843,0,0
0.93601,2.0156e+05,0.053853,17.497,0,0,80560,-1.17,299.82,18.694,0,0,1,11.856,8.856,0,0
0.936,2.0156e+05,0.053777,17.473,0,0,80559,-1.17,299.82,18.667,0,0,1,11.869,8.869,0,0
0.93599,2.0156e+05,0.053701,17.448,0,0,80558,-1.17,299.82,18.641,0,0,1,11.882,8.882,0,0
0.93598,2.0156e+05,0.053625,17.423,0,0,80557,-1.1701,299.82,18.615,0,0,1,11.895,8.895,0,0
0.93599,2.0156e+05,0.053555,17.4,0,0,80558,-1.1701,299.83,18.59,0,0,1,11.908,8.908,0,0
0.936,2.0156e+05,0.053487,17.378,0,0,80559,-1.17,299.83,18.567,0,0,1,11.921,8.921,0,0
0.93602,2.0156e+05,0.053419,17.357,0,0,80560,-1.1699,299.83,18.543,0,0,1,11.934,8.934,0,0
0.93603,2.0156e+05,0.053351,17.335,0,0,80562,-1.1698,299.83,18.52,0,0,1,11.947,8.947,0,0
0.93603,2.0156e+05,0.053293,17.316,0,0,80562,-1.1698,299.83,18.499,0,0,1,11.96,8.96,0,0
0.93602,2.0156e+05,0.053237,17.298,0,0,80561,-1.1699,299.83,18.48,0,0,1,11.973,8.973,0,0
0.93601,2.0156e+05,0.053182,17.279,0,0,80560,-1.1699,299.83,18.461,0,0,1,11.986,8.986,0,0
0.93601,2.0156e+05,0.053126,17.261,0,0,80560,-1.1699,299.83,18.441,0,0,1,11.999,8.999,0,0
0.93603,2.0156e+05,0.053053,17.238,0,0,80562,-1.1698,299.83,18.416,0,0,1,12.012,9.012,0,0
0.93605,2.0157e+05,0.052978,17.214,0,0,80564,-1.1697,299.83,18.39,0,0,1,12.025,9.025,0,0
0.93608,2.0157e+05,0.052904,17.19,0,0,80566,-1.1696,299.83,18.364,0,0,1,12.038,9.038,0,0
0.9361,2.0158e+05,0.052829,17.166,0,0,80568,-1.1695,299.83,18.338,0,0,1,12.051,9.051,0,0
0.93609,2.0158e+05,0.052761,17.144,0,0,80567,-1.1695,299.83,18.314,0,0,1,12.064,9.064,0,0
0.93608,2.0157e+05,0.052692,17.122,0,0,80567,-1.1696,299.83,18.291,0,0,1,12.077,9.077,0,0
0.93607,2.0157e+05,0.052623,17.099,0,0,80566,-1.1696,299.83,18.267,0,0,1,12.09,9.09,0,0
0.93607,2.0157e+05,0.052558,17.078,0,0,80566,-1.1696,299.83,18.244,0,0,1,12.103,9.103,0,0
0.93608,2.0157e+05,0.052506,17.061,0,0,80567,-1.1695,299.83,18.226,0,0,1,12.116,9.116,0,0
0.9361,2.0158e+05,0.052454,17.045,0,0,80568,-1.1695,299.83,18.208,0,0,1,12.129,9.129,0,0
0.93611,2.0158e+05,0.052402,17.028,0,0,80570,-1.1694,299.83,18.19,0,0,1,12.142,9.142,0,0
0.93612,2.0158e+05,0.052359,17.014,0,0,80570,-1.1694,299.83,18.175,0,0,1,12.155,9.155,0,0
0.93611,2.0158e+05,0.052332,17.005,0,0,80569,-1.1694,299.83,18.166,0,0,1,12.168,9.168,0,0
0.9361,2.0158e+05,0.052304,16.996,0,0,80568,-1.1695,299.83,18.156,0,0,1,12.181,9.181,0,0
0.93609,2.0157e+05,0.052277,16.987,0,0,80568,-1.1695,299.83,18.147,0,0,1,12.194,9.194,0,0
0.93609,2.0157e+05,0.052254,16.979,0,0,80568,-1.1695,299.83,18.139,0,0,1,12.207,9.207,0,0
0.93611,2.0158e+05,0.052235,16.974,0,0,80570,-1.1694,299.83,18.132,0,0,1,12.22,9.22,0,0
0.93613,2.0158e+05,0.052216,16.968,0,0,80571,-1.1693,299.83,18.125,0,0,1,12.233,9.233,0,0
0.93615,2.0159e+05,0.052196,16.962,0,0,80573,-1.1692,299.83,18.119,0,0,1,12.246,9.246,0,0
0.93616,2.0159e+05,0.052161,16.95,0,0,80574,-1.1692,299.83,18.106,0,0,1,12.259,9.259,0,0
0.93617,2.0159e+05,0.052118,16.937,0,0,80575,-1.1691,299.83,18.092,0,0,1,12.272,9.272,0,0
