"Density","Energy","Mach","Momentum:0","Momentum:1","Momentum:2","Pressure","Pressure_Coefficient","Temperature","Velocity:0","Velocity:1","Velocity:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.1387,2.957e+05,2.3065,634.75,0,0,47509,-3.0343,145.35,557.46,0,0,1,6.422,3.422,0,0
1.1406,2.9618e+05,2.305,635.66,0,0,47626,-3.0277,145.45,557.28,0,0,1,6.435,3.435,0,0
1.1425,2.9664e+05,2.3035,636.51,0,0,47736,-3.0215,145.55,557.11,0,0,1,6.448,3.448,0,0
1.1444,2.971e+05,2.302,637.35,0,0,47846,-3.0153,145.64,556.93,0,0,1,6.461,3.461,0,0
1.1462,2.9754e+05,2.3006,638.18,0,0,47953,-3.0093,145.74,556.76,0,0,1,6.474,3.474,0,0
1.148,2.9797e+05,2.2992,638.97,0,0,48056,-3.0035,145.83,556.6,0,0,1,6.487,3.487,0,0
1.1497,2.9839e+05,2.2978,639.77,0,0,48159,-2.9976,145.92,556.44,0,0,1,6.5,3.5,0,0
1.1514,2.9879e+05,2.2965,640.51,0,0,48256,-2.9922,146,556.29,0,0,1,6.513,3.513,0,0
1.1531,2.992e+05,2.2952,641.25,0,0,48353,-2.9867,146.09,556.14,0,0,1,6.526,3.526,0,0
1.1546,2.9958e+05,2.294,641.97,0,0,48447,-2.9814,146.17,555.99,0,0,1,6.539,3.539,0,0
1.1562,2.9996e+05,2.2928,642.67,0,0,48538,-2.9763,146.24,555.85,0,0,1,6.552,3.552,0,0
1.1577,3.0033e+05,2.2916,643.36,0,0,48629,-2.9712,146.32,555.71,0,0,1,6.565,3.565,0,0
1.1592,3.0068e+05,2.2905,644.01,0,0,48713,-2.9664,146.4,555.58,0,0,1,6.578,3.578,0,0
1.1606,3.0103e+05,2.2894,644.66,0,0,48798,-2.9616,146.47,555.44,0,0,1,6.591,3.591,0,0
1.162,3.0137e+05,2.2883,645.28,0,0,48880,-2.957,146.54,555.32,0,0,1,6.604,3.604,0,0
1.1633,3.0169e+05,2.2873,645.88,0,0,48959,-2.9525,146.61,555.19,0,0,1,6.617,3.617,0,0
1.1647,3.0202e+05,2.2862,646.48,0,0,49038,-2.9481,146.67,555.07,0,0,1,6.63,3.63,0,0
1.1659,3.0232e+05,2.2853,647.04,0,0,49111,-2.9439,146.74,554.96,0,0,1,6.643,3.643,0,0
1.1672,3.0262e+05,2.2843,647.6,0,0,49185,-2.9398,146.8,554.84,0,0,1,6.656,3.656,0,0
1.1684,3.0291e+05,2.2834,648.13,0,0,49255,-2.9358,146.86,554.74,0,0,1,6.669,3.669,0,0
1.1695,3.0319e+05,2.2825,648.65,0,0,49323,-2.932,146.92,554.63,0,0,1,6.682,3.682,0,0
1.1707,3.0347e+05,2.2817,649.16,0,0,49391,-2.9282,146.98,554.53,0,0,1,6.695,3.695,0,0
1.1717,3.0372e+05,2.2808,649.64,0,0,49454,-2.9246,147.03,554.43,0,0,1,6.708,3.708,0,0
1.1728,3.0398e+05,2.28,650.11,0,0,49516,-2.9211,147.08,554.33,0,0,1,6.721,3.721,0,0
1.1738,3.0423e+05,2.2793,650.56,0,0,49576,-2.9177,147.13,554.24,0,0,1,6.734,3.734,0,0
1.1748,3.0446e+05,2.2785,651,0,0,49634,-2.9145,147.18,554.15,0,0,1,6.747,3.747,0,0
1.1757,3.047e+05,2.2778,651.43,0,0,49691,-2.9112,147.23,554.06,0,0,1,6.76,3.76,0,0
1.1766,3.0491e+05,2.2771,651.83,0,0,49744,-2.9083,147.28,553.98,0,0,1,6.773,3.773,0,0
1.1775,3.0512e+05,2.2764,652.22,0,0,49796,-2.9053,147.32,553.9,0,0,1,6.786,3.786,0,0
1.1784,3.0533e+05,2.2758,652.6,0,0,49846,-2.9025,147.36,553.83,0,0,1,6.799,3.799,0,0
1.1792,3.0552e+05,2.2752,652.96,0,0,49894,-2.8998,147.4,553.75,0,0,1,6.812,3.812,0,0
1.18,3.0572e+05,2.2746,653.32,0,0,49942,-2.8971,147.44,553.68,0,0,1,6.825,3.825,0,0
1.1807,3.0589e+05,2.274,653.64,0,0,49985,-2.8947,147.48,553.61,0,0,1,6.838,3.838,0,0
1.1814,3.0607e+05,2.2735,653.97,0,0,50028,-2.8923,147.52,553.55,0,0,1,6.851,3.851,0,0
1.1821,3.0624e+05,2.2729,654.27,0,0,50068,-2.89,147.55,553.49,0,0,1,6.864,3.864,0,0
1.1827,3.0639e+05,2.2724,654.56,0,0,50107,-2.8878,147.58,553.43,0,0,1,6.877,3.877,0,0
