"Density","Energy","Mach","Momentum:0","Momentum:1","Momentum:2","Pressure","Pressure_Coefficient","Temperature","Velocity:0","Velocity:1","Velocity:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.91444,1.9814e+05,0.28579,90.01,-1.2951e-17,0,77484,-1.3435,295.18,98.432,-1.416e-17,0,1,4.511,1.511,0,0
0.91464,1.9818e+05,0.28501,89.788,0,0,77507,-1.3421,295.2,98.168,0,0,1,4.524,1.524,0,0
0.91484,1.9821e+05,0.28423,89.566,0,0,77531,-1.3408,295.23,97.903,0,0,1,4.537,1.537,0,0
0.91504,1.9825e+05,0.28345,89.344,0,0,77555,-1.3394,295.26,97.639,0,0,1,4.55,1.55,0,0
0.91524,1.9828e+05,0.28268,89.125,-3.6481e-17,0,77578,-1.3381,295.28,97.379,-3.9855e-17,0,1,4.563,1.563,0,0
0.91543,1.9832e+05,0.28192,88.906,0,0,77601,-1.3368,295.31,97.12,0,0,1,4.576,1.576,0,0
0.91563,1.9836e+05,0.28115,88.688,0,0,77624,-1.3355,295.33,96.86,0,0,1,4.589,1.589,0,0
0.91582,1.9839e+05,0.28039,88.47,1.7775e-17,0,77647,-1.3343,295.36,96.602,1.9403e-17,0,1,4.602,1.602,0,0
0.916,1.9842e+05,0.27964,88.254,2.8439e-17,0,77669,-1.333,295.38,96.347,3.1045e-17,0,1,4.615,1.615,0,0
0.91619,1.9846e+05,0.27889,88.039,0,0,77691,-1.3318,295.4,96.093,0,0,1,4.628,1.628,0,0
0.91638,1.9849e+05,0.27814,87.824,0,0,77714,-1.3305,295.43,95.838,0,0,1,4.641,1.641,0,0
0.91656,1.9852e+05,0.2774,87.61,2.9891e-17,0,77735,-1.3293,295.45,95.586,3.2603e-17,0,1,4.654,1.654,0,0
0.91672,1.9855e+05,0.27666,87.397,0,0,77755,-1.3281,295.48,95.337,0,0,1,4.667,1.667,0,0
0.91689,1.9858e+05,0.27593,87.185,0,0,77776,-1.327,295.5,95.089,0,0,1,4.68,1.68,0,0
0.91705,1.9861e+05,0.2752,86.973,0,0,77796,-1.3259,295.52,94.84,0,0,1,4.693,1.693,0,0
0.91723,1.9865e+05,0.27449,86.768,0,0,77817,-1.3247,295.55,94.598,0,0,1,4.706,1.706,0,0
0.91741,1.9868e+05,0.2738,86.57,0,0,77838,-1.3235,295.57,94.363,0,0,1,4.719,1.719,0,0
0.9176,1.9871e+05,0.2731,86.372,0,0,77860,-1.3223,295.59,94.129,0,0,1,4.732,1.732,0,0
0.91778,1.9875e+05,0.27241,86.174,0,0,77881,-1.321,295.61,93.894,0,0,1,4.745,1.745,0,0
0.91794,1.9878e+05,0.27174,85.98,1.3444e-17,0,77900,-1.32,295.63,93.666,1.4643e-17,0,1,4.758,1.758,0,0
0.91808,1.988e+05,0.27108,85.788,0,0,77917,-1.319,295.65,93.443,0,0,1,4.771,1.771,0,0
0.91822,1.9883e+05,0.27043,85.596,0,0,77934,-1.318,295.68,93.22,0,0,1,4.784,1.784,0,0
0.91835,1.9885e+05,0.26977,85.403,0,0,77952,-1.3171,295.7,92.996,0,0,1,4.797,1.797,0,0
0.91851,1.9888e+05,0.26911,85.211,-3.8448e-17,0,77971,-1.316,295.72,92.77,-4.1846e-17,0,1,4.81,1.81,0,0
0.91867,1.9891e+05,0.26844,85.018,0,0,77990,-1.3149,295.74,92.544,0,0,1,4.823,1.823,0,0
0.91884,1.9894e+05,0.26777,84.825,0,0,78009,-1.3138,295.76,92.317,0,0,1,4.836,1.836,0,0
0.919,1.9897e+05,0.26711,84.632,0,0,78028,-1.3127,295.78,92.091,0,0,1,4.849,1.849,0,0
0.91916,1.99e+05,0.26645,84.441,0,0,78047,-1.3117,295.8,91.868,0,0,1,4.862,1.862,0,0
0.91931,1.9902e+05,0.26579,84.25,0,0,78066,-1.3106,295.82,91.645,0,0,1,4.875,1.875,0,0
0.91947,1.9905e+05,0.26514,84.059,0,0,78084,-1.3096,295.84,91.422,0,0,1,4.888,1.888,0,0
0.91963,1.9908e+05,0.26448,83.87,2.2163e-17,0,78103,-1.3085,295.86,91.2,2.4091e-17,0,1,4.901,1.901,0,0
0.91982,1.9912e+05,0.26386,83.69,0,0,78124,-1.3073,295.88,90.986,0,0,1,4.914,1.914,0,0
0.92001,1.9915e+05,0.26323,83.511,0,0,78146,-1.3061,295.9,90.773,0,0,1,4.927,1.927,0,0
0.9202,1.9919e+05,0.2626,83.332,0,0,78167,-1.3049,295.92,90.559,0,0,1,4.94,1.94,0,0
0.92037,1.9922e+05,0.26198,83.152,2.8019e-17,0,78187,-1.3038,295.94,90.347,3.0439e-17,0,1,4.953,1.953,0,0
0.9205,1.9925e+05,0.26136,82.972,0,0,78202,-1.3029,295.96,90.138,0,0,1,4.966,1.966,0,0
0.92062,1.9927e+05,0.26075,82.791,0,0,78218,-1.302,295.98,89.929,0,0,1,4.979,1.979,0,0
0.92075,1.9929e+05,0.26014,82.61,0,0,78234,-1.3011,295.99,89.72,0,0,1,4.992,1.992,0,0
0.92089,1.9931e+05,0.25952,82.43,-1.3149e-17,0,78250,-1.3002,296.01,89.512,-1.4276e-17,0,1,5.005,2.005,0,0
0.92103,1.9934e+05,0.25891,82.252,0,0,78267,-1.2993,296.03,89.305,0,0,1,5.018,2.018,0,0
0.92117,1.9937e+05,0.25831,82.074,0,0,78284,-1.2983,296.05,89.097,0,0,1,5.031,2.031,0,0
0.92132,1.9939e+05,0.2577,81.896,0,0,78302,-1.2973,296.07,88.89,0,0,1,5.044,2.044,0,0
0.92146,1.9942e+05,0.2571,81.721,0,0,78318,-1.2964,296.09,88.687,0,0,1,5.057,2.057,0,0
0.92159,1.9944e+05,0.25651,81.549,0,0,78334,-1.2955,296.1,88.487,0,0,1,5.07,2.07,0,0
0.92173,1.9947e+05,0.25593,81.377,0,0,78351,-1.2946,296.12,88.287,0,0,1,5.083,2.083,0,0
0.92187,1.9949e+05,0.25534,81.205,0,0,78367,-1.2937,296.14,88.088,0,0,1,5.096,2.096,0,0
0.922,1.9952e+05,0.25475,81.032,0,0,78382,-1.2928,296.16,87.888,0,0,1,5.109,2.109,0,0
0.92212,1.9954e+05,0.25417,80.859,0,0,78398,-1.2919,296.17,87.689,0,0,1,5.122,2.122,0,0
0.92225,1.9956e+05,0.25358,80.687,0,0,78413,-1.291,296.19,87.489,0,0,1,5.135,2.135,0,0
0.92238,1.9959e+05,0.253,80.514,0,0,78429,-1.2902,296.21,87.29,0,0,1,5.148,2.148,0,0
0.92251,1.9961e+05,0.25243,80.347,-1.3303e-17,0,78445,-1.2893,296.22,87.096,-1.4418e-17,0,1,5.161,2.161,0,0
0.92265,1.9964e+05,0.25187,80.182,0,0,78461,-1.2883,296.24,86.904,0,0,1,5.174,2.174,0,0
0.92279,1.9966e+05,0.2513,80.017,0,0,78477,-1.2874,296.26,86.712,0,0,1,5.187,2.187,0,0
0.92293,1.9969e+05,0.25074,79.852,0,0,78493,-1.2865,296.27,86.519,0,0,1,5.2,2.2,0,0
0.92305,1.9971e+05,0.2502,79.692,0,0,78508,-1.2857,296.29,86.336,0,0,1,5.213,2.213,0,0
0.92317,1.9973e+05,0.24966,79.532,0,0,78522,-1.2849,296.31,86.152,0,0,1,5.226,2.226,0,0
0.92328,1.9975e+05,0.24912,79.372,0,0,78536,-1.2841,296.32,85.968,0,0,1,5.239,2.239,0,0
0.9234,1.9977e+05,0.24858,79.212,1.6781e-17,0,78550,-1.2833,296.34,85.783,1.8169e-17,0,1,5.252,2.252,0,0
0.92352,1.998e+05,0.24803,79.05,0,0,78565,-1.2825,296.35,85.596,0,0,1,5.265,2.265,0,0
0.92365,1.9982e+05,0.24748,78.888,0,0,78580,-1.2816,296.37,85.409,0,0,1,5.278,2.278,0,0
0.92377,1.9984e+05,0.24693,78.725,0,0,78594,-1.2808,296.39,85.222,0,0,1,5.291,2.291,0,0
0.92389,1.9986e+05,0.24639,78.565,-2.0142e-17,0,78609,-1.28,296.4,85.037,-2.1797e-17,0,1,5.304,2.304,0,0
0.924,1.9988e+05,0.24587,78.41,0,0,78622,-1.2792,296.42,84.859,0,0,1,5.317,2.317,0,0
0.92412,1.999e+05,0.24534,78.255,0,0,78636,-1.2785,296.43,84.681,0,0,1,5.33,2.33,0,0
0.92423,1.9992e+05,0.24482,78.1,0,0,78650,-1.2777,296.45,84.503,0,0,1,5.343,2.343,0,0
0.92434,1.9994e+05,0.2443,77.947,1.3349e-17,0,78663,-1.2769,296.46,84.327,1.4439e-17,0,1,5.356,2.356,0,0
0.92446,1.9996e+05,0.2438,77.796,0,0,78676,-1.2762,296.48,84.153,0,0,1,5.369,2.369,0,0
0.92457,1.9998e+05,0.24329,77.645,0,0,78690,-1.2754,296.49,83.98,0,0,1,5.382,2.382,0,0
0.92468,2.0001e+05,0.24278,77.494,0,0,78703,-1.2747,296.5,83.806,0,0,1,5.395,2.395,0,0
0.92479,2.0003e+05,0.24228,77.346,1.3689e-17,0,78717,-1.2739,296.52,83.636,1.48e-17,0,1,5.408,2.408,0,0
0.92491,2.0005e+05,0.24179,77.2,0,0,78730,-1.2732,296.53,83.468,0,0,1,5.421,2.421,0,0
0.92502,2.0007e+05,0.2413,77.054,0,0,78744,-1.2724,296.55,83.3,0,0,1,5.434,2.434,0,0
0.92514,2.0009e+05,0.2408,76.908,0,0,78757,-1.2716,296.56,83.132,0,0,1,5.447,2.447,0,0
0.92523,2.0011e+05,0.24032,76.763,-2.7353e-17,0,78769,-1.271,296.57,82.966,-2.9559e-17,0,1,5.46,2.46,0,0
0.92533,2.0012e+05,0.23983,76.618,0,0,78781,-1.2703,296.59,82.801,0,0,1,5.473,2.473,0,0
0.92542,2.0014e+05,0.23935,76.473,0,0,78792,-1.2697,296.6,82.636,0,0,1,5.486,2.486,0,0
0.92552,2.0016e+05,0.23887,76.328,0,0,78804,-1.269,296.62,82.471,0,0,1,5.499,2.499,0,0
0.92562,2.0018e+05,0.23841,76.192,0,0,78816,-1.2683,296.63,82.314,0,0,1,5.512,2.512,0,0
0.92573,2.002e+05,0.23795,76.057,0,0,78829,-1.2676,296.64,82.158,0,0,1,5.525,2.525,0,0
0.92584,2.0022e+05,0.23749,75.921,0,0,78842,-1.2669,296.65,82.002,0,0,1,5.538,2.538,0,0
0.92595,2.0024e+05,0.23704,75.786,6.3919e-18,0,78854,-1.2662,296.67,81.847,6.9013e-18,0,1,5.551,2.551,0,0
0.92605,2.0025e+05,0.23659,75.653,0,0,78866,-1.2655,296.68,81.695,0,0,1,5.564,2.564,0,0
0.92615,2.0027e+05,0.23615,75.52,0,0,78878,-1.2648,296.69,81.542,0,0,1,5.577,2.577,0,0
0.92625,2.0029e+05,0.2357,75.387,0,0,78889,-1.2642,296.7,81.39,0,0,1,5.59,2.59,0,0
