"Time_Iter","Outer_Iter","Inner_Iter",     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     ,     "rms[h]"     
          0,           0,          39,      -8.110013146,      -7.924706821,      -7.773533959,      -7.062217957
          0,           0,          40,       -8.13332209,       -7.96971512,      -7.794109021,      -7.085526901
          0,           0,          41,      -8.159594916,       -8.01509625,      -7.817433542,      -7.111799726
          0,           0,          42,      -8.190714185,      -8.061881467,      -7.845883995,      -7.142918996
          0,           0,          43,      -8.227572954,      -8.110942428,      -7.880476494,      -7.179777764
          0,           0,          44,      -8.270479492,      -8.162877835,      -7.921492164,      -7.222684302
          0,           0,          45,      -8.319404407,      -8.217973906,      -7.968850159,      -7.271609217
          0,           0,          46,       -8.37410896,      -8.276201725,      -8.022293763,      -7.326313771
          0,           0,          47,      -8.434216871,      -8.337251054,      -8.081483881,      -7.386421682
          0,           0,          48,      -8.499242608,      -8.400578234,      -8.146035571,      -7.451447418
          0,           0,          49,      -8.568555911,      -8.465442156,      -8.215476969,      -7.520760721
          0,           0,          50,      -8.641356135,      -8.530990306,      -8.289207728,      -7.593560946
          0,           0,          51,      -8.716619589,      -8.596349968,      -8.366419301,        -7.6688244
          0,           0,          52,      -8.793056492,      -8.660730422,      -8.445988687,      -7.745261302
          0,           0,          53,      -8.869081776,      -8.723527455,      -8.526372246,      -7.821286586
          0,           0,          54,      -8.942917505,      -8.784380181,      -8.605576266,      -7.895122315
          0,           0,          55,       -9.01281079,      -8.843182428,      -8.681280182,        -7.9650156
          0,           0,          56,      -9.077347753,      -8.900036432,      -8.751209371,      -8.029552564
          0,           0,          57,      -9.135852345,      -8.955173494,      -8.813756824,      -8.088057156
          0,           0,          58,      -9.188564921,      -9.008912208,      -8.868566872,      -8.140769732
          0,           0,          59,      -9.236561555,      -9.061618353,      -8.916674919,      -8.188766365
          0,           0,          60,       -9.28144684,       -9.11369491,      -8.960105651,       -8.23365165
          0,           0,          61,      -9.324945307,      -9.165591398,      -9.001224898,      -8.277150117
          0,           0,          62,      -9.368660135,      -9.217772645,      -9.042190774,      -8.320864945
          0,           0,          63,       -9.41385503,      -9.270690447,      -9.084669951,       -8.36605984
          0,           0,          64,      -9.461435124,      -9.324727074,      -9.129810544,      -8.413639935
          0,           0,          65,      -9.511992391,      -9.380139499,      -9.178304107,      -8.464197202
          0,           0,          66,      -9.565745815,      -9.437032679,      -9.230459034,      -8.517950625
          0,           0,          67,      -9.622678171,      -9.495333219,      -9.286293116,      -8.574882981
          0,           0,          68,      -9.682530858,      -9.554833824,      -9.345598097,      -8.634735669
          0,           0,          69,      -9.744779464,      -9.615197987,      -9.407941036,      -8.696984275
          0,           0,          70,      -9.808776078,      -9.676011952,      -9.472687015,      -8.760980888
          0,           0,          71,      -9.873665334,      -9.736867183,      -9.539038201,      -8.825870145
          0,           0,          72,       -9.93855588,      -9.797345783,      -9.606039302,      -8.890760691
          0,           0,          73,      -10.00257748,      -9.857122378,      -9.672649862,      -8.954782293
          0,           0,          74,      -10.06493489,      -9.915967891,      -9.737902494,      -9.017139702
          0,           0,          75,      -10.12528939,      -9.973773834,      -9.801051041,      -9.077494196
