"Density","Enthalpy","Heat_Capacity","Heat_Flux","Laminar_Viscosity","Pressure","Pressure_Coefficient","Skin_Friction_Coefficient:0","Skin_Friction_Coefficient:1","Skin_Friction_Coefficient:2","Temperature","Thermal_Conductivity","Velocity:0","Velocity:1","Velocity:2","Y_Plus","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1,-11.163,321.67,0,4.4389e-07,-4.8012e-05,-9.6024e-05,0,0,0,1,0.00019832,0.93496,0.00086899,0,0,1,0.001355,0.3,0.001355,0
1,-11.163,321.67,0,4.4389e-07,-4.8147e-05,-9.6294e-05,0,0,0,1,0.00019832,0.9358,0.00087107,0,0,1,0.00136,0.3,0.00136,0
1,-11.163,321.67,0,4.4389e-07,-4.8282e-05,-9.6564e-05,0,0,0,1,0.00019832,0.93664,0.00087314,0,0,1,0.001365,0.3,0.001365,0
1,-11.163,321.67,0,4.4389e-07,-4.8417e-05,-9.6834e-05,0,0,0,1,0.00019832,0.93748,0.00087521,0,0,1,0.00137,0.3,0.00137,0
1,-11.163,321.67,0,4.4389e-07,-4.8552e-05,-9.7104e-05,0,0,0,1,0.00019832,0.93831,0.00087729,0,0,1,0.001375,0.3,0.001375,0
1,-11.163,321.67,0,4.4389e-07,-4.8687e-05,-9.7374e-05,0,0,0,1,0.00019832,0.93915,0.00087936,0,0,1,0.00138,0.3,0.00138,0
1,-11.163,321.67,0,4.4389e-07,-4.8822e-05,-9.7643e-05,0,0,0,1,0.00019832,0.93999,0.00088143,0,0,1,0.001385,0.3,0.001385,0
1,-11.163,321.67,0,4.4389e-07,-4.8957e-05,-9.7913e-05,0,0,0,1,0.00019832,0.94083,0.00088351,0,0,1,0.00139,0.3,0.00139,0
1,-11.163,321.67,0,4.4389e-07,-4.9092e-05,-9.8183e-05,0,0,0,1,0.00019832,0.94167,0.00088558,0,0,1,0.001395,0.3,0.001395,0
1,-11.163,321.67,0,4.4389e-07,-4.9227e-05,-9.8453e-05,0,0,0,1,0.00019832,0.94251,0.00088766,0,0,1,0.0014,0.3,0.0014,0
1,-11.163,321.67,0,4.4389e-07,-4.9361e-05,-9.8723e-05,0,0,0,1,0.00019832,0.94335,0.00088973,0,0,1,0.001405,0.3,0.001405,0
1,-11.163,321.67,0,4.4389e-07,-4.9496e-05,-9.8993e-05,0,0,0,1,0.00019832,0.94419,0.0008918,0,0,1,0.00141,0.3,0.00141,0
1,-11.163,321.67,0,4.4389e-07,-4.9631e-05,-9.9263e-05,0,0,0,1,0.00019832,0.94503,0.00089388,0,0,1,0.001415,0.3,0.001415,0
1,-11.163,321.67,0,4.4389e-07,-4.9766e-05,-9.9533e-05,0,0,0,1,0.00019832,0.94587,0.00089595,0,0,1,0.00142,0.3,0.00142,0
1,-11.163,321.67,0,4.4389e-07,-4.9901e-05,-9.9802e-05,0,0,0,1,0.00019832,0.94671,0.00089802,0,0,1,0.001425,0.3,0.001425,0
1,-11.163,321.67,0,4.4389e-07,-5.0036e-05,-0.00010007,0,0,0,1,0.00019832,0.94755,0.0009001,0,0,1,0.00143,0.3,0.00143,0
1,-11.163,321.67,0,4.4389e-07,-5.0171e-05,-0.00010034,0,0,0,1,0.00019832,0.94838,0.00090217,0,0,1,0.001435,0.3,0.001435,0
1,-11.163,321.67,0,4.4389e-07,-5.0306e-05,-0.00010061,0,0,0,1,0.00019832,0.94922,0.00090424,0,0,1,0.00144,0.3,0.00144,0
1,-11.163,321.67,0,4.4389e-07,-5.0441e-05,-0.00010088,0,0,0,1,0.00019832,0.95006,0.00090632,0,0,1,0.001445,0.3,0.001445,0
1,-11.163,321.67,0,4.4389e-07,-5.0576e-05,-0.00010115,0,0,0,1,0.00019832,0.9509,0.00090839,0,0,1,0.00145,0.3,0.00145,0
1,-11.163,321.67,0,4.4389e-07,-5.0711e-05,-0.00010142,0,0,0,1,0.00019832,0.95174,0.00091046,0,0,1,0.001455,0.3,0.001455,0
1,-11.163,321.67,0,4.4389e-07,-5.0846e-05,-0.00010169,0,0,0,1,0.00019832,0.95258,0.00091254,0,0,1,0.00146,0.3,0.00146,0
1,-11.163,321.67,0,4.4389e-07,-5.0981e-05,-0.00010196,0,0,0,1,0.00019832,0.95342,0.00091461,0,0,1,0.001465,0.3,0.001465,0
1,-11.163,321.67,0,4.4389e-07,-5.1116e-05,-0.00010223,0,0,0,1,0.00019832,0.95426,0.00091668,0,0,1,0.00147,0.3,0.00147,0
1,-11.163,321.67,0,4.4389e-07,-5.1251e-05,-0.0001025,0,0,0,1,0.00019832,0.9551,0.00091876,0,0,1,0.001475,0.3,0.001475,0
1,-11.163,321.67,0,4.4389e-07,-5.1385e-05,-0.00010277,0,0,0,1,0.00019832,0.95594,0.00092083,0,0,1,0.00148,0.3,0.00148,0
1,-11.163,321.67,0,4.4389e-07,-5.152e-05,-0.00010304,0,0,0,1,0.00019832,0.95678,0.0009229,0,0,1,0.001485,0.3,0.001485,0
1,-11.163,321.67,0,4.4389e-07,-5.1655e-05,-0.00010331,0,0,0,1,0.00019832,0.95762,0.00092498,0,0,1,0.00149,0.3,0.00149,0
1,-11.163,321.67,0,4.4389e-07,-5.179e-05,-0.00010358,0,0,0,1,0.00019832,0.95845,0.00092705,0,0,1,0.001495,0.3,0.001495,0
1,-11.163,321.67,0,4.4389e-07,-5.1925e-05,-0.00010385,0,0,0,1,0.00019832,0.95929,0.00092912,0,0,1,0.0015,0.3,0.0015,0
1,-11.163,321.67,0,4.4389e-07,-5.206e-05,-0.00010412,0,0,0,1,0.00019832,0.96013,0.0009312,0,0,1,0.001505,0.3,0.001505,0
1,-11.163,321.67,0,4.4389e-07,-5.2195e-05,-0.00010439,0,0,0,1,0.00019832,0.96097,0.00093327,0,0,1,0.00151,0.3,0.00151,0
1,-11.163,321.67,0,4.4389e-07,-5.233e-05,-0.00010466,0,0,0,1,0.00019832,0.96181,0.00093534,0,0,1,0.001515,0.3,0.001515,0
1,-11.163,321.67,0,4.4389e-07,-5.2465e-05,-0.00010493,0,0,0,1,0.00019832,0.96265,0.00093742,0,0,1,0.00152,0.3,0.00152,0
1,-11.163,321.67,0,4.4389e-07,-5.26e-05,-0.0001052,0,0,0,1,0.00019832,0.96349,0.00093949,0,0,1,0.001525,0.3,0.001525,0
1,-11.163,321.67,0,4.4389e-07,-5.2735e-05,-0.00010547,0,0,0,1,0.00019832,0.96433,0.00094157,0,0,1,0.00153,0.3,0.00153,0
1,-11.163,321.67,0,4.4389e-07,-5.287e-05,-0.00010574,0,0,0,1,0.00019832,0.96517,0.00094364,0,0,1,0.001535,0.3,0.001535,0
1,-11.163,321.67,0,4.4389e-07,-5.3005e-05,-0.00010601,0,0,0,1,0.00019832,0.96601,0.00094571,0,0,1,0.00154,0.3,0.00154,0
1,-11.163,321.67,0,4.4389e-07,-5.314e-05,-0.00010628,0,0,0,1,0.00019832,0.96685,0.00094779,0,0,1,0.001545,0.3,0.001545,0
1,-11.163,321.67,0,4.4389e-07,-5.3275e-05,-0.00010655,0,0,0,1,0.00019832,0.96769,0.00094986,0,0,1,0.00155,0.3,0.00155,0
1,-11.163,321.67,0,4.4389e-07,-5.341e-05,-0.00010682,0,0,0,1,0.00019832,0.96852,0.00095193,0,0,1,0.001555,0.3,0.001555,0
1,-11.163,321.67,0,4.4389e-07,-5.3544e-05,-0.00010709,0,0,0,1,0.00019832,0.96936,0.00095401,0,0,1,0.00156,0.3,0.00156,0
1,-11.163,321.67,0,4.4389e-07,-5.3679e-05,-0.00010736,0,0,0,1,0.00019832,0.9702,0.00095608,0,0,1,0.001565,0.3,0.001565,0
1,-11.163,321.67,0,4.4389e-07,-5.3814e-05,-0.00010763,0,0,0,1,0.00019832,0.97104,0.00095815,0,0,1,0.00157,0.3,0.00157,0
1,-11.163,321.67,0,4.4389e-07,-5.3949e-05,-0.0001079,0,0,0,1,0.00019832,0.97188,0.00096023,0,0,1,0.001575,0.3,0.001575,0
1,-11.163,321.67,0,4.4389e-07,-5.4084e-05,-0.00010817,0,0,0,1,0.00019832,0.97272,0.0009623,0,0,1,0.00158,0.3,0.00158,0
1,-11.163,321.67,0,4.4389e-07,-5.4219e-05,-0.00010844,0,0,0,1,0.00019832,0.97356,0.00096437,0,0,1,0.001585,0.3,0.001585,0
1,-11.163,321.67,0,4.4389e-07,-5.4354e-05,-0.00010871,0,0,0,1,0.00019832,0.9744,0.00096645,0,0,1,0.00159,0.3,0.00159,0
1,-11.163,321.67,0,4.4389e-07,-5.4489e-05,-0.00010898,0,0,0,1,0.00019832,0.97524,0.00096852,0,0,1,0.001595,0.3,0.001595,0
1,-11.163,321.67,0,4.4389e-07,-5.4624e-05,-0.00010925,0,0,0,1,0.00019832,0.97608,0.00097059,0,0,1,0.0016,0.3,0.0016,0
1,-11.163,321.67,0,4.4389e-07,-5.4759e-05,-0.00010952,0,0,0,1,0.00019832,0.97692,0.00097267,0,0,1,0.001605,0.3,0.001605,0
1,-11.163,321.67,0,4.4389e-07,-5.4894e-05,-0.00010979,0,0,0,1,0.00019832,0.97776,0.00097474,0,0,1,0.00161,0.3,0.00161,0
1,-11.163,321.67,0,4.4389e-07,-5.5029e-05,-0.00011006,0,0,0,1,0.00019832,0.97859,0.00097681,0,0,1,0.001615,0.3,0.001615,0
1,-11.163,321.67,0,4.4389e-07,-5.5164e-05,-0.00011033,0,0,0,1,0.00019832,0.97943,0.00097889,0,0,1,0.00162,0.3,0.00162,0
1,-11.163,321.67,0,4.4389e-07,-5.526e-05,-0.00011052,0,0,0,1,0.00019832,0.97994,0.00098024,0,0,1,0.001625,0.3,0.001625,0
1,-11.163,321.67,0,4.4389e-07,-5.533e-05,-0.00011066,0,0,0,1,0.00019832,0.98022,0.0009811,0,0,1,0.00163,0.3,0.00163,0
